Subject,Catalog Nbr,Section,Class Nbr,Course Title,Component,Units,Bldg,Room,Days,Time,Instructor,Attributes
AAAD,101,1,3382,INTRO TO AFRICA,Lecture,3,TBA,TBA,TuTh,19:00 - 20:15,"Sebastian,Matthew Ryan ","BN, GL, "
AAAD,101,2,3384,INTRO TO AFRICA,Lecture,3,Murphey,104,TuTh,14:00 - 15:15,"BOYD,LYDIA C","BN, GL, "
AAAD,101,3,3525,INTRO TO AFRICA,Lecture,3,New West,219,MWF,10:10 - 11:00,"Camara,Samba","BN, GL, "
AAAD,102,1,11569,INTRO TO AFRICAN MEDIA,Lecture,3,Dey Hall,307,TuTh,12:30 - 13:45,"Birya,Raphael Kalu","SS, GL, "
AAAD,130,2,3411,INTRO AFRI AMER & DIASPORA STD,Lecture,3,Murphey,104,TuTh,11:00 - 12:15,"Monroe,Alicia Lenis","HS, US, "
AAAD,130,3,3412,INTRO AFRI AMER & DIASPORA STD,Lecture,3,Dey Hall,206,TuTh,14:00 - 15:15,"Monroe,Alicia Lenis","HS, US, "
AAAD,201,1,3385,AFRICAN LITERATURE,Lecture,3,Peabody,2080,MWF,09:05 - 09:55,"Mwamzandi,Mohamed Yusuf","GR1 LA, BN, "
AAAD,202,1,9957,AFRICAN FILM AND PERFORMANCE ,Lecture,3,Murray Hall,G201,MW,15:35 - 16:50,"Camara,Samba ","VP, BN, "
AAAD,214,1,13984,ETHNOGRAPHY OF AFRICA,Lecture,3,Gardner,7,MW,11:15 - 12:30,"LAMBERT,MICHAEL C","SS, BN, "
AAAD,237,1,3968,AFRICAN AMER ART,Lecture,3,Hanes Art Center ,218,TuTh,09:30 - 10:45,"BOWLES,JOHN PARISH ","VP, NA,  "
AAAD,238,1,11571,AFRICAN AMER LITERATURE SURVEY,Lecture,3,Venable,G311,W,15:30 - 18:20,"Craft,Howard Lemuel","GR1 LA, US"
AAAD,252,1,3888,AFRICAN AMERICANS IN THE WEST,Lecture,3,Dey Hall,307,MW,17:45 - 19:00,"Porter,Robert S.","GR1 US, "
AAAD,254,1,13987,AFRICAN AMERICANS IN NC,Lecture,3,Dey Hall,307,Tu,19:30 - 22:00,"Porter,Robert S. ","HS, US, "
AAAD,259,1,14897,BLACKS & POP CULTUR,Lecture,3,Peabody,3018,TuTh,15:30 - 16:45,"Massenburg,Christopher Dion ","VP, "
AAAD,284,1,13993,AFRICAN DIASP IN THE AMERICAS,Lecture,3,Phillips,381,TuTh,12:30 - 13:45,"Samuel,Petal KImberly","HS, BN, "
AAAD,290,1,9958,"TOPICS IN AFRI, AFAM, DIASPORA",Lecture,3-Jan,Phillips,367,W,16:40 - 17:40,"Staton,Torri A.",
AAAD,318,1,13996,POLITICS OF ART IN AFRICA,Lecture,3,Dey Hall,307,TuTh,11:00 - 12:15,"PIER,DAVID","VP, BN, GL, "
AAAD,329,1,11573,ISLAMIC CULTURES AND SOCIETIES,Lecture,3,Woollen Gym,301,MW,15:35 - 16:50,"Mwamzandi,Mohamed Yusuf ","SS, BN, "
AAAD,333,1,13997,RACE & PUB POL IN U.S.,Lecture,3,Phillips,328,TuTh,15:30 - 16:45,"WILLIAMS II,RONALD","SS, US"
